[CH3:6][CH:3]([C:2]([CH3:4])=[O:1])[C:5]1=[C:7]([CH3:10])[CH2:9][CH2:12][CH2:11][CH2:8]1	[CH3:10][CH:7]([CH2:9][CH2:12][CH2:11][CH2:8]1)/[C:5]1=[C:3](/[CH3:6])\[C:2]([CH3:4])=[O:1]	InChI=1S/C11H18O/c1-8-6-4-5-7-11(8)9(2)10(3)12/h9H,4-7H2,1-3H3	InChI=1S/C11H18O/c1-8-6-4-5-7-11(8)9(2)10(3)12/h8H,4-7H2,1-3H3/b11-9-
[CH3:8][CH:3]([CH3:7])[C:1]1=[C:2]([CH3:6])[CH2:5][CH2:10][CH2:11][CH2:9][CH2:4]1	[CH3:6][CH:2]([CH2:5][CH2:10][CH2:11][CH2:9][CH2:4]1)[C:1]1=[C:3]([CH3:8])[CH3:7]	InChI=1S/C11H20/c1-9(2)11-8-6-4-5-7-10(11)3/h9H,4-8H2,1-3H3	InChI=1S/C11H20/c1-9(2)11-8-6-4-5-7-10(11)3/h10H,4-8H2,1-3H3
[CH3:8][CH:3]([CH3:7])/[C:1]1=[C:2](\[CH3:6])/[CH2:5][CH2:10][CH2:12][CH2:11][CH2:9][CH2:4]1	[CH3:6][CH:2]([CH2:5][CH2:10][CH2:12][CH2:11][CH2:9][CH2:4]1)[C:1]1=[C:3]([CH3:8])[CH3:7]	InChI=1S/C12H22/c1-10(2)12-9-7-5-4-6-8-11(12)3/h10H,4-9H2,1-3H3/b12-11+	InChI=1S/C12H22/c1-10(2)12-9-7-5-4-6-8-11(12)3/h11H,4-9H2,1-3H3
[CH3:8][CH2:7][C:6]1=[CH:5][CH2:3][O:1][CH:2]=[CH:4]1	[CH3:8]/[CH:7]=[C:6]1/[CH:4]=[CH:2][O:1][CH2:3][CH2:5]1	InChI=1S/C7H10O/c1-2-7-3-5-8-6-4-7/h3-5H,2,6H2,1H3	InChI=1S/C7H10O/c1-2-7-3-5-8-6-4-7/h2-3,5H,4,6H2,1H3/b7-2-
[CH3:8][CH2:7][C:6]1=[CH:5][CH2:3][S:1][CH:2]=[CH:4]1	[CH3:8]/[CH:7]=[C:6]1/[CH:4]=[CH:2][S:1][CH2:3][CH2:5]1	InChI=1S/C7H10S/c1-2-7-3-5-8-6-4-7/h3-5H,2,6H2,1H3	InChI=1S/C7H10S/c1-2-7-3-5-8-6-4-7/h2-3,5H,4,6H2,1H3/b7-2-
[CH3:12][CH2:10][C:7]1=[CH:6][CH2:3][O:1][c:2]2[c:4]1[cH:8][cH:11][cH:9][cH:5]2	[CH3:12]/[CH:10]=[C:7]1/[c:4]([cH:8][cH:11][cH:9][cH:5]2)[c:2]2[O:1][CH2:3][CH2:6]1	InChI=1S/C11H12O/c1-2-9-7-8-12-11-6-4-3-5-10(9)11/h3-7H,2,8H2,1H3	InChI=1S/C11H12O/c1-2-9-7-8-12-11-6-4-3-5-10(9)11/h2-6H,7-8H2,1H3
[CH3:7][c:3]([s:1]1)[cH:6][n:5]2[c:2]1[n:4][c:8]1[c:9]2[cH:11][cH:13][cH:12][cH:10]1	[CH2:7]=[C:3]1[S:1][c:2]2[n:4][c:8]([cH:10][cH:12][cH:13][cH:11]3)[c:9]3[n:5]2[CH2:6]1	InChI=1S/C10H8N2S/c1-7-6-12-9-5-3-2-4-8(9)11-10(12)13-7/h2-6H,1H3	InChI=1S/C10H8N2S/c1-7-6-12-9-5-3-2-4-8(9)11-10(12)13-7/h2-5H,1,6H2
[OH:1][C:2]1=[CH:3][CH2:5][CH2:6][CH2:4]1	[O:1]=[C:2]1[CH2:4][CH2:6][CH2:5][CH2:3]1	InChI=1S/C5H8O/c6-5-3-1-2-4-5/h3,6H,1-2,4H2	InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2
[OH:1][C:2]1=[CH:3][CH2:5][CH2:7][CH2:6][CH2:4]1	[O:1]=[C:2]1[CH2:4][CH2:6][CH2:7][CH2:5][CH2:3]1	InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h4,7H,1-3,5H2	InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2
[OH:1][C:2]1=[CH:3][CH2:5][CH2:7][CH2:8][CH2:6][CH2:4]1	[O:1]=[C:2]1[CH2:3][CH2:5][CH2:7][CH2:8][CH2:6][CH2:4]1	InChI=1S/C7H12O/c8-7-5-3-1-2-4-6-7/h5,8H,1-4,6H2	InChI=1S/C7H12O/c8-7-5-3-1-2-4-6-7/h1-6H2
